tarih,min_trafik_indeksi,max_trafik_indeksi,ort_trafik_indeksi
2017-08-09,2,54,28.36
2017-08-10,1,54,25.78
2017-08-11,1,54,26.12
2017-08-12,1,44,22.57
2017-08-13,1,29,14.81
2017-08-14,1,54,25.74
2017-08-15,2,59,31.69
2017-08-16,1,56,29.74
2017-08-17,1,57,29.55
2017-08-18,2,57,34.37
2017-08-19,1,45,23.86
2017-08-20,1,31,15.53
2017-08-21,1,54,24.6
2017-08-22,1,59,25.2
2017-08-23,1,53,26.68
2017-08-24,1,56,26.82
2017-08-25,2,51,27.44
2017-08-26,1,38,19.09
2017-08-27,1,18,9.12
2017-08-28,1,40,15.35
2017-08-29,1,49,16.46
2017-08-30,1,15,6.76
2017-08-31,1,17,5.97
2017-09-01,1,29,9.57
2017-09-02,1,38,15.74
2017-09-03,1,36,14.9
2017-09-04,1,24,9.5
2017-09-05,1,44,15.62
2017-09-06,1,49,21.97
2017-09-07,1,54,25.81
2017-09-08,1,61,28.06
2017-09-09,1,49,25.39
2017-09-10,1,42,19.28
2017-09-11,1,56,27.04
2017-09-12,1,59,30.12
2017-09-13,1,61,30.53
2017-09-14,1,63,30.16
2017-09-15,1,64,30.25
2017-09-16,1,57,29.72
2017-09-17,1,47,24.62
2017-09-18,1,51,24.88
2017-09-19,1,56,27.26
2017-09-20,1,63,27.9
2017-09-21,1,56,27.51
2017-09-22,1,61,30.1
2017-09-23,1,57,27.07
2017-09-24,1,49,22.91
2017-09-25,1,51,26.53
2017-09-26,1,56,25.62
2017-09-27,1,63,27.8
2017-09-28,1,56,25.81
2017-09-29,1,64,27.76
2017-09-30,1,63,28.45
2017-10-01,1,53,23.82
2017-10-02,1,59,24.49
2017-10-03,1,59,26.02
2017-10-04,1,59,27.1
2017-10-05,1,64,28.64
2017-10-06,1,63,28.52
2017-10-07,1,56,26.31
2017-10-08,1,45,20.74
2017-10-09,1,53,23.35
2017-10-10,1,59,26.65
2017-10-11,1,61,27.72
2017-10-12,1,63,28.55
2017-10-13,1,67,29.84
2017-10-14,1,54,27.98
2017-10-15,1,53,22.74
2017-10-16,1,57,25.66
2017-10-17,1,61,27.41
2017-10-18,1,61,26.75
2017-10-19,1,59,26.59
